Order,Family,Genus,Species,phylo,Segmented.neutrophils,Database,count_type,Notes,
Cetartiodactyla,Cervidae,Pudu,pudu,Pudu_pudu,2.45,Global_sp_RI,automated,new,
Carnivora,Felidae,Puma,concolor,Puma_concolor,4.36,Global_sp_RI,automated,replaced_Downs,
Carnivora,Felidae,Puma,yagouaroundi,Puma_yagouaroundi,4.61,,,retained,
Primates,Cercopithecidae,Pygathrix,nemaeus,Pygathrix_nemaeus,5.06,Basic_stats,automated,new,
Cetartiodactyla,Cervidae,Rangifer,tarandus,Rangifer_tarandus,2.57,Global_sp_RI,automated,replaced_Downs,
Cetartiodactyla,Bovidae,Raphicerus,campestris,Raphicerus_campestris,2.907,Basic_stats,calculated,new,
Rodentia,Muridae,Rattus,norvegicus,Rattus_norvegicus,1.35,Global_sp_RI,calculated,new,
Perissodactyla,Rhinocerotidae,Rhinoceros,unicornis,Rhinoceros_unicornis,4.54,Global_sp_RI,calculated,new,
Macroscelidea,Macroscelididae,Rhynchocyon,petersi,Rhynchocyon_petersi,0.902,Global_sp_RI,calculated,new,
Chiroptera,Pteropodidae,Rousettus,aegyptiacus,Rousettus_aegyptiacus,2.058,Global_sp_RI,calculated,replaced_Downs,
Chiroptera,Pteropodidae,Rousettus,lanosus,Rousettus_lanosus,2.394,Global_sp_RI,calculated,new,
Cetartiodactyla,Cervidae,Rucervus,duvaucelii,Rucervus_duvaucelii,3,Global_sp_RI,calculated,new,
Cetartiodactyla,Cervidae,Rucervus,eldii,Rucervus_eldii,1.835,Global_sp_RI,calculated,replaced_Downs,
Cetartiodactyla,Bovidae,Rupicapra,rupicapra,Rupicapra_rupicapra,2.34,Global_sp_RI,calculated,replaced_Downs,
Cetartiodactyla,Cervidae,Rusa,alfredi,Rusa_alfredi,2.022,Basic_stats,calculated,new,
Cetartiodactyla,Cervidae,Rusa,unicolor,Rusa_unicolor,2.856,Global_sp_RI,calculated,new,
Primates,Cebidae,Saguinus,bicolor,Saguinus_bicolor,6.82,Global_sp_RI,automated,new,
Primates,Cebidae,Saguinus,geoffroyi,Saguinus_geoffroyi,5.55,Global_sp_RI,automated,new,
Primates,Cebidae,Saguinus,imperator,Saguinus_imperator,3.98,Global_sp_RI,automated,new,
Primates,Cebidae,Saguinus,leucopus,Saguinus_leucopus,5.6,Global_sp_RI,automated,new,
Primates,Cebidae,Saguinus,midas,Saguinus_midas,5.416,Global_sp_RI,calculated,replaced_Downs,
Primates,Cebidae,Saguinus,mystax,Saguinus_mystax,4.34,Global_sp_RI,calculated,new,
Primates,Cebidae,Saguinus,oedipus,Saguinus_oedipus,5.49,Global_sp_RI,automated,replaced_Downs,
Primates,Cebidae,Saimiri,boliviensis,Saimiri_boliviensis,2.9,Global_sp_RI,automated,new,
Primates,Cebidae,Saimiri,sciureus,Saimiri_sciureus,3.49,Global_sp_RI,automated,replaced_Downs,
Primates,Cebidae,Sapajus,apella,Sapajus_apella,3.44,Global_sp_RI,automated,replaced_Downs,
Primates,Cebidae,Sapajus,robustus,Sapajus_robustus,4.914,Global_sp_RI,calculated,new,
Primates,Cebidae,Sapajus,xanthosternos,Sapajus_xanthosternos,3.3,Basic_stats,automated,new,
Dasyuromorphia,Dasyuridae,Sacrophilus,harrisii,Sacrophilus_harrisii,3.54,Global_sp_RI,automated,new,
Rodentia,Sciuridae,Sciurus,vulgaris,Sciurus_vulgaris,1.656,Basic_stats,calculated,new,
Primates,Cercopithecidae,Semnopithecus,entellus,Semnopithecus_entellus,5.168,Global_sp_RI,calculated,replaced_Downs,
Afrosoricida,Tenrecidae,Setifer,setosus,Setifer_setosus,1.996,Basic_stats,calculated,new,
Diprotodontia,Macropodidae,Setonix,brachyurus,Setonix_brachyurus,2.91,Global_sp_RI,calculated,new,
Carnivora,Canidae,Speothos,venaticus,Speothos_venaticus,9.15,Global_sp_RI,calculated,replaced_Downs,
Carnivora,Mephitidae,Spilogale,putorius,Spilogale_putorius,1.881,Basic_stats,calculated,new,
Carnivora,Herpestidae,Suricata,suricatta,Suricata_suricatta,2.26,Global_sp_RI,automated,replaced_Downs,
Cetartiodactyla,Suidae,Sus,cebifrons,Sus_cebifrons,3,Basic_stats,automated,new,
Cetartiodactyla,Suidae,Sus,scrofa,Sus_scrofa,3.21,Global_sp_RI,automated,replaced_Downs,
Primates,Hylobatidae,Symphalangus,syndactylus,Symphalangus_syndactylus,5.75,Global_sp_RI,automated,replaced_Downs,
Cetartiodactyla,Bovidae,Syncerus,caffer,Syncerus_caffer,2.7,Global_sp_RI,calculated,replaced_Downs,
Monotremata,Tachyglossidae,Tachyglossus,aculeatus,Tachyglossus_aculeatus,7.467,Global_sp_RI,calculated,replaced_Downs,
Pilosa,Myrmecophagidae,Tamandua,tetradactyla,Tamandua_tetradactyla,2.51,Global_sp_RI,automated,replaced_Downs,
Perissodactyla,Tapiridae,Tapirus,bairdii,Tapirus_bairdii,4.106,Global_sp_RI,calculated,new,
Perissodactyla,Tapiridae,Tapirus,indicus,Tapirus_indicus,6.82,Global_sp_RI,automated,replaced_Downs,
Perissodactyla,Tapiridae,Tapirus,pinchaque,Tapirus_pinchaque,3.877,Global_sp_RI,calculated,new,
Perissodactyla,Tapiridae,Tapirus,terrestris,Tapirus_terrestris,4,Global_sp_RI,automated,replaced_Downs,
