"order","mu","mu_lci","mu_uci","N_mu","Tw_constant","Tw_complete","Tw_constant_lci","Tw_constant_uci","Tw_complete_lci","Tw_complete_uci","N_Tw","g0","g0_lci","g0_uci","N_g0","phylo_dist","Tv_human_constant","Tv_human_complete","rstar_constant","rstar_constant_lci","rstar_constant_uci","rstar_complete","rstar_complete_lci","rstar_complete_uci","N_cumulative","Vs_max_constant","Vs_max_constant_lci","Vs_max_constant_uci","Vs_max_complete","Vs_max_complete_lci","Vs_max_complete_uci","alpha_star_human_constant","alpha_star_human_constant_lci","alpha_star_human_constant_uci","alpha_star_human_complete","alpha_star_human_complete_lci","alpha_star_human_complete_uci"
"Rodentia",0.000297093511279638,0.000276717408557894,0.000318970009528684,223,1.46535082677331,0.465350826773314,1.38034811223832,1.55035354130831,0.380348112238317,0.55035354130831,223,0.536308090137412,0.396536583678534,0.676079596596291,28,174.4,1.51573338901659,0.515733389016589,5.73035411357529,4.24493947440967,7.21537442007329,5.73472390742545,4.24737327100551,7.22247882134908,158,6.30442381651341,4.67092569910804,7.94446961851598,6.30924220577083,4.67359242112429,7.95232552906039,56.3483130013079,30.9263394277093,89.4083000894171,50.0852052225766,27.478372635283,79.5060486921928
"Primates",0.000122901534809064,0.000113141453277858,0.000133503564085646,125,1.84868668695778,0.848686686957779,1.76170345570382,1.93566991821173,0.761703455703824,0.935669918211734,125,0.631984246918879,0.498339637567866,0.765628856269891,132,0,2,1,6.70795184815122,5.29351805077043,8.12245050474161,6.71837680294627,5.30057844631697,8.13724911894001,127.333333333333,7.38357894255271,5.82305069094365,8.94803265937181,7.39509796911109,5.83082567783101,8.9644133692673,69.3401688191337,43.154193520286,101.751933346783,44.7147491860719,27.8160740209283,65.6510983117959
"Cingulata",0.000175164683462901,0.000130963943480527,0.000234283311247577,8,1.69479744478249,0.694797444782486,1.55043597478751,1.83915891477746,0.550435974787508,0.839158914777463,8,0.475283654864896,0.292981013636607,0.657586296093185,4,197.8,1.45075724969886,0.450757249698861,5.06405234912104,3.12545884955553,7.00613721848886,5.07113921507287,3.12845649163187,7.02046755331403,6.66666666666667,5.57046658583457,3.45049678303491,7.71313357699202,5.57826422501109,3.45374233690058,7.72897524131282,44.8326417307072,17.1395723735344,85.884355638896,40.9964027756143,15.6588978256146,78.6373897169253
"Tubulidentata",0.000228324246388339,0.000123435783344403,0.000422340751411992,1,1.57969196051843,0.579691960518431,1.31273260019921,1.84665132083765,0.312732600199211,0.846651320837651,1,0.410094498700646,0.135093963902261,0.68509503349903,1,197.8,1.45075724969886,0.450757249698861,4.38304801277534,1.44986385113537,7.33266467048033,4.38824479783394,1.45050940660654,7.3526820137675,1,4.82231771780994,1.69143759409408,8.07417632034227,4.82801687092784,1.69206961049726,8.09631468019786,33.592058548063,3.89751478259892,94.0945834468094,30.7044103948426,3.55696762009924,86.2728808316277
"Dasyuromorphia",0.000370945668685805,0.000320853582971554,0.000428858197070402,40,1.36893368895393,0.368933688953934,1.26894796955684,1.46891940835103,0.26894796955684,0.468919408351027,40,0.3591013569347,0.162366636674054,0.555836077195346,4,320,1.11143741103961,0.111437411039613,3.85999920842605,1.75992318949902,5.9575717575658,3.86252453986139,1.76077171868806,5.96299831130683,28,4.24974006787343,2.00219427056628,6.55503907017418,4.25249894193,2.00306101881534,6.56102614290373,29.5228535855921,6.34174357497037,70.2834895827719,29.377822894176,6.3081407622912,69.9746277913831
"Diprotodontia",0.000265146118264908,0.000237727045614033,0.000295727664680987,66,1.51475871996294,0.514758719962936,1.42288400390946,1.60663343601641,0.422884003909461,0.606633436016411,66,0.354038056809317,0.211075694948097,0.497000418670537,23,320,1.11143741103961,0.111437411039613,3.79395780614129,2.27160467757943,5.31534142220083,3.79805798684155,2.27363352218835,5.32247824446228,51.6666666666667,4.17761339449208,2.53517670892832,5.84708343277082,4.18209011092088,2.5373218635529,5.8549431612173,28.5252522187694,10.3645330344427,55.9344286604527,28.409207558685,10.3181103434356,55.7366318370079
"Perissodactyla",0.000229070908420691,0.000179423508464292,0.000292455997175665,14,1.57827405529959,0.578274055299594,1.44879604223877,1.70775206836042,0.448796042238769,0.707752068360418,14,0.391044038339987,0.1155597518359,0.666528324844074,16,188,1.47796947898577,0.477969478985772,4.18131773634361,1.24905550923622,7.11127702606556,4.18637564185011,1.25052258008661,7.12254287826562,14.6666666666667,4.60123055576063,1.49911860225423,7.82936939536271,4.60677018749861,1.50048778023739,7.84182522451189,30.3326098067775,2.95216308385168,87.7802864672765,27.4248120699993,2.66828932461392,79.4257178812346
"Cetartiodactyla",0.000302079460509702,0.000276164986762967,0.000330425668841773,198,1.45812279639685,0.458122796396845,1.36911565815884,1.54712993463485,0.36911565815884,0.547129934634851,198,0.367299310155387,0.218354714725531,0.516243905585244,128,188,1.47796947898577,0.477969478985772,3.93927776860998,2.35290014525821,5.52416914912997,3.94281275903806,2.35460090145483,5.53041367865071,174.666666666667,4.33637908730686,2.62127999789578,6.07713869274198,4.34024363321305,2.62308445258618,6.08402028185067,26.9318668748513,9.72387847882805,52.9283954964032,24.3348783585834,8.78291130513805,47.847272805957
"Scandentia",0.000202145432221565,0.00014136887737433,0.000289050719840145,5,1.63258006115245,0.632580061152447,1.46457589542449,1.8005842268804,0.464575895424489,0.800584226880405,5,0.225452460969727,1e-07,0.450904821939454,3,169.46,1.52945057398366,0.529450573983665,2.42132916112379,3.0571399596105e-05,4.82751271471475,2.42565597012682,3.18687205361166e-05,4.83943512650802,4.33333333333333,2.69397581967902,9086.0865274041,5.31033246374011,2.69857874916807,8716.20301237044,5.32343783127968,10.1356336740405,0.431614046510533,39.8335046180812,8.9713748514881,0.380703322367079,35.3086864376367
"Lagomorpha",0.000309338921063739,0.000246695461703797,0.000387889454568776,14,1.44780942696962,0.447809426969623,1.32491671445133,1.57070213948791,0.324916714451335,0.570702139487911,14,NA,NA,NA,1,174.4,1.51573338901659,0.515733389016589,NA,NA,NA,NA,NA,NA,9.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macroscelidea",0.000292086436965884,0.000209547949503792,0.000407135869673025,6,1.47273260242266,0.472732602422659,1.31390135998402,1.6315638448613,0.313901359984016,0.631563844861302,6,NA,NA,NA,1,197.8,1.45075724969886,0.450757249698861,NA,NA,NA,NA,NA,NA,4.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
